Token,POS
en,KN
sekuriteit,NA
te,UPI
verleen,VTHOG
nie,UPO
.,ZE
,
Ofskoon,KO
ons,PEMP
die,LB
voorkoms,NA
van,SVS
die,LB
meeste,AOA
vorme,NSM
van,SVS
kontakmisdaad,NSE
verlaag,VTHOG
het,VUOT
",",ZM
is,VTHOK
die,LB
jaarlikse,ASA
koers,NSE
van,SVS
afname,NSE
in,SVS
misdaadkategorieë,NSM
soos,UPV
diefstal,NA
",",ZM
aanranding,NA
en,KN
moord,NSE
nog,BS
steeds,BS
laer,AVP
as,KO
die,LB
7,RS
tot,SVS
10%,RS
wat,PB
ons,PEMP
ons,PEMW
ten,SVS
doel,NSE
gestel,VVHOG
het,VUOT
.,ZE
,
En,KN
die,LB
misbruik,NA
van,SVS
vroue,NSM
en,KN
kinders,NSM
word,VTUOP
teen,SVS
'n,LO
onaanvaarbaar,BS
hoë,ASA
koers,NSE
voortgesit,VVHOG
.,ZE
,
Die,LB
toename,NSE
in,SVS
die,LB
voorkoms,NA
van,SVS
spesifieke,ASA
soorte,NSM
misdaad,NSE
tydens,SVS
die,LB
veiligheidswagte,NSM
se,UPS
staking,NSE
moes,VVUOM
by,SVS
almal,PO
van,SVS
ons,PEMP
die,LB
besef,NA
tuisgebring,VVHOG
het,VUOT
dat,KO
die,LB
veiligheidsindustrie,NSE
nie,BS
maar,KN
net,BS
as,KO
'n,LO
privaat,ASA
aangeleentheid,NSE
van,SVS
die,LB
privaatsektor,NSE
beskou,VTHOG
en,KN
hanteer,VTHOG
kan,VTUOM
word,VTUOP
nie,UPO
.,ZE
,
Dit,PDOENP
is,VTHOK
baie,THBO
duidelik,ASP
dat,KO
die,LB
reguleringstelsel,NSE
wat,PB
ons,PEMP
in,SVS
plek,NSE
het,VTHOO
",",ZM
onvoldoende,ASP
is,VTHOK
.,ZE
,
Dit,PDOENP
is,VTHOK
van,SVS
toepassing,NSE
op,SVS
kwessies,NSM
soos,UPV
loonvlakke,NSM
",",ZM
die,LB
afdwing,NA
van,SVS
riglyne,NSM
op,SVS
geldafleweringsvoertuie,NSM
",",ZM
en,KN
dergelike,PO
meer,THAO
.,ZE
,
Ons,PEMP
sal,VTUOM
hierdie,PA
kwessie,NSE
in,SVS
die,LB
loop,NA
van,SVS
die,LB
jaar,NSE
in,SVS
oënskou,NA
neem,VTHOG
sodat,KO
ons,PEMP
",",ZM
afgesien,SVS
van,SVS
'n,LO
verbetering,NSE
in,SVS
die,LB
werk,NA
van,SVS
die,LB
polisie,NM
",",ZM
ook,BS
saam,BS
met,SVS
die,LB
privaat,ASA
veiligheidsindustrie,NSE
'n,LO
omgewing,NSE
kan,VTUOM
skep,VTHOG
waarin,PB
daar,UXD
werklik,BS
aan,SVS
die,LB
publiek,NM
se,UPS
verwagtinge,NSM
omtrent,SVS
veiligheid,NA
",",ZM
waaraan,PB
hulpbronne,NSM
van,SVS
reusagtige,ASA
omvang,NA
bestee,VTHOG
word,VTUOP
",",ZM
voldoen,VTHOV
kan,VTUOM
word,VTUOP
.,ZE
,
Ons,PEMP
sal,VTUOM
ook,BS
voortgaan,VTHSO
om,SVS
'n,LO
groter,AVA
poging,NSE
aan,UPW
te,UPI
wend,VTHOG
om,SVS
ons,PEMB
howe,NSM
beter,BV
te,UPI
laat,VTUOA
funksioneer,VTHOO
en,KN
om,SVS
die,LB
tempo,NSE
waarteen,PB
agterstande,NSM
in,SVS
die,LB
verhoor,NSE
van,SVS
sake,NSM
weggewerk,VVHOG
word,VTUOP
",",ZM
te,UPI
versnel,VTHOG
.,ZE
,
En,KN
ons,PEMP
sal,VTUOM
sorg,VTHOG
dat,KO
besluite,NSM
om,SVS
Korrektiewe,ASA
Dienste,NSM
se,UPS
infrastruktuur,NM
uit,UPW
te,UPI
brei,VTHOG
",",ZM
die,LB
bestuur,NA
van,SVS
grensbeheer,NA
te,UPI
verbeter,VTHOG
",",ZM
en,KN
immigrasie-,RWD
en,KN
dokumentasiedienste,NSM
te,UPI
verbeter,VTHOG
",",ZM
in,SVS
werking,NA
gestel,VVHOG
word,VTUOP
.,ZE
,
Baie,THAO
van,UPD
die,LB
gebreke,NSM
in,SVS
die,LB
verbetering,NSE
van,SVS
dienste,NSM
aan,SVS
die,LB
bevolking,NSE
het,VTHOG
hulle,PDMB
oorsprong,NSE
ten,SVS
dele,NSM
in,SVS
onvoldoende,ASA
kapasiteit,NM
en,KN
stelsels,NSM
waarmee,PB
die,LB
inwerkingstelling,NA
gemoniteer,VVHOG
kan,VTUOM
word,VTUOP
.,ZE
,
As,KO
gevolg,NSE
hiervan,PB
sal,VTUOM
die,LB
kwessie,NSE
van,SVS
die,LB
organisasie,NSE
en,KN
kapasiteit,NM
van,SVS
die,LB
staat,NSE
in,SVS
die,LB
tydperk,NSE
tot,SVS
2009,RS
vir,SVS
ons,PEMP
'n,LO
saak,NSE
van,SVS
groot,ASA
erns,NA
bly,VTHOK
.,ZE
,
Wat,PB
onder,SVS
andere,NSM
'n,LO
kritieke,ASA
area,NSE
vir,SVS
strategiese,ASA
ingryping,NSE
blyk,VTHOK
te,UPI
gewees,VVHOK
het,VUOT
",",ZM
is,VTHOK
die,LB
inhoud,NM
van,SVS
die,LB
opleiding,NA
wat,PB
staatsamptenare,NSM
in,SVS
verskeie,ASA
instellings,NSM
ontvang,VTHOG
en,KN
die,LB
rol,NSE
van,SVS
die,LB
Suid-Afrikaanse,ASA
Bestuursontwikkelingsinstituut,NSE
(,ZPL
Samdi,RK
),ZPR
",",ZM
wat,PB
in,SVS
werklikheid,NA
die,LB
grootste,AOA
diensverskaffer,NSE
behoort,VTUOM
te,UPI
wees,VTHOK
",",ZM
ook,BS
ten,SVS
opsigte,NSM
van,SVS
die,LB
massa-inlywing,NA
van,SVS
staatsamptenare,NSM
.,ZE
,
Departemente,NSM
se,UPS
vlakke,NSM
van,SVS
voldoening,NA
met,SVS
betrekking,NA
tot,SVS
openbare,ASA
diens,NSE
en,KN
finansiële,ASA
bestuur,NA
is,VVUOP
betreklik,BS
gemeng,VVHOG
.,ZE
,
Dit,PDOENP
kan,VTUOM
vanselfsprekend,BS
nie,BS
verder,BV
geduld,VVHOG
word,VTUOP
nie,UPO
",",ZM
selfs,BS
as,KO
ons,PEMP
in,SVS
aanmerking,NA
neem,VTHOG
dat,KO
ouditvereistes,NSM
op,SVS
nasionale,ASA
en,KN
provinsiale,ASA
vlak,NSE
strenger,AVP
geword,VVHOK
het,VUOT
.,ZE
,
In,SVS
hierdie,PA
opsig,NSE
is,VTHOK
die,LB
toepassing,NSE
van,SVS
die,LB
prestasieooreenkomsstelsel,NSE
",",ZM
veral,BS
op,SVS
senior,ASA
bestuursvlak,NSE
",",ZM
van,SVS
kritieke,ASA
belang,NSE
.,ZE
,
Programme,NSM
ter,SVS
verbetering,NSE
van,SVS
ons,PEMB
stelsel,NSE
van,SVS
plaaslike,ASA
regering,NSE
word,VTUOP
teen,SVS
'n,LO
vinnige,ASA
pas,NSE
voortgesit,VVHOG
.,ZE
,
Ná,SVS
die,LB
plaaslike,ASA
verkiesings,NSM
van,SVS
Maart,NEE
2006,RS
is,VVUOP
inlywingsprogramme,NSM
dadelik,BS
aangebied,VVHOG
",",ZM
aangesien,KO
62%,RS
van,SVS
alle,THAO
burgemeesters,NSM
nuut,ASP
was,VVHOK
.,ZE
,
Wat,PB
egter,BS
kommerwekkend,ASP
is,VTHOK
",",ZM
is,VTHOK
dat,KO
daar,UXD
in,SVS
talle,THAO
van,SVS
hierdie,PA
munisipaliteite,NSM
steeds,BS
vakatures,NSM
in,SVS
die,LB
senior,ASA
bestuur,NA
en,KN
op,SVS
professionele,ASA
vlak,NSE
is,VTHOK
of,KN
ontstaan,VTHOG
het,VUOT
.,ZE
,
In,SVS
September,NEE
verlede,ASA
jaar,NSE
het,VUOT
27%,RS
van,SVS
alle,THAO
munisipaliteite,NSM
byvoorbeeld,BS
nie,BS
munisipale,ASA
bestuurders,NSM
gehad,VVHOG
nie,UPO
",",ZM
was,VVHOK
meer,THBO
as,KO
50%,RS
van,UPD
die,LB
senior,ASA
bestuursposte,NSM
in,SVS
die,LB
Noordwes,NEE
vakant,ASP
en,KN
het,VUOT
slegs,BS
1%,RS
van,UPD
alle,THAO
senior,ASA
bestuurders,NSM
in,SVS
Mpumalanga,NEE
sleutelprestasieooreenkomste,NSM
gesluit,VVHOG
.,ZE
,
Ons,PEMP
gaan,VTHOO
voort,UPW
om,SVS
hierdie,PA
uitdagings,NSM
die,LB
hoof,NSE
te,UPI
bied,VTHOG
en,KN
sal,VTUOM
al,THAO
die,LB
nodige,ASA
take,NSM
uitvoer,VTHSG
wat,PB
in,SVS
ons,PEMB
vyfjaar-,RWD
strategiese,ASA
plan,NSE
vir,SVS
plaaslike,ASA
regering,NSE
vervat,VTHOG
is,VVUOP
",",ZM
met,SVS
inbegrip,NA
van,SVS
daadwerklike,ASA
hulp,NA
deur,SVS
nasionale,ASA
en,KN
provinsiale,ASA
strukture,NSM
aan,SVS
munisipaliteite,NSM
",",ZM
die,LB
ontplooiing,NSE
van,SVS
opgeleide,ASA
personeel,NM
",",ZM
wat,PB
professionele,ASA
vrywilligers,NSM
uit,SVS
die,LB
publiek,NM
insluit,VTHSG
",",ZM
en,KN
die,LB
versterking,NA
van,SVS
wykskomitees,NSM
",",ZM
waarvan,PB
80%,RS
reeds,BS
oor,SVS
die,LB
hele,ASA
land,NSE
in,SVS
die,LB
lewe,NSE
geroep,VVHOG
is,VVUOP
.,ZE
,
Daar,UXD
word,VTUOP
voortgegaan,VVHOG
met,SVS
die,LB
implementering,NA
van,SVS
die,LB
program,NSE
vir,SVS
die,LB
belyning,NA
van,SVS
beplanningsinstrumente,NSM
regdeur,SVS
alle,THAO
regeringsfere,NSM
(,ZPL
dit,PDOENP
wil,VTUOM
sê,VTHOG
die,LB
nasionale,ASA
ruimtelikeontwikkelingsperspektief,NSE
",",ZM
provinsiale,ASA
groei-,RWD
en,KN
ontwikkelingstrategieë,NSM
en,KN
geïntegreerde,ASA
ontwikkelingsprogramme,NSM
),ZPR
.,ZE
,
Loodsprogramme,NSM
wat,PB
op,SVS
volle,ASA
belyning,NA
gerig,VVHOG
is,VVUOP
",",ZM
is,VVUOP
reeds,BS
in,SVS
13,RS
distrikte,NSM
en,KN
metro's,NSM
in,SVS
werking,NA
gestel,VVHOG
.,ZE
,
Hierdie,PA
loodsprojekte,NSM
behoort,VTUOM
teen,SVS
die,LB
einde,NSE
van,SVS
die,LB
jaar,NSE
afgehandel,ASP
te,UPI
wees,VTHOK
.,ZE
,
Ons,PEMP
is,VTHOK
trots,ASP
op,SVS
ons,PEMB
goeie,ASA
rekord,NSE
dat,KO
meer,THBO
as,KO
die,LB
helfte,NSE
van,SVS
alle,THAO
distrikte,NSM
en,KN
metro's,NSM
reeds,BS
hulle,PDMB
spitsberade,NSM
vir,SVS
groei,NA
en,KN
ontwikkeling,NA
gehou,VVHOG
het,VUOT
",",ZM
en,KN
dat,KO
die,LB
res,NSE
van,SVS
plan,NSE
is,VTHOK
om,SVS
dit,PDOENP
nie,BS
later,BV
nie,UPO
as,KO
teen,SVS
die,LB
einde,NSE
van,SVS
Februarie,NEE
te,UPI
hou,VTHOG
.,ZE
,
Dit,PDOENP
sal,VTUOM
die,LB
grondslag,NSE
lê,VTHOG
waarvolgens,PB
alle,THAO
maatskaplike,ASA
vennote,NSM
plaaslike,ASA
ekonomiese,ASA
ontwikkeling,NA
kan,VTUOM
bespoedig,VTHOG
.,ZE
,
Geagte,ASA
lede,NSM
",",ZM
,
Ek,PEENP
wil,VTUOM
by,SVS
hierdie,PA
geleentheid,NSE
my,PEEB
dank,NA
teenoor,SVS
Adjunkpresident,NSE
Phumzile,NEE
Mlambo-Ngcuka,NEE
betuig,VTHOG
vir,SVS
haar,PDVEB
inspirerende,ASA
leierskap,NA
in,SVS
die,LB
inwerkingstelling,NA
van,SVS
die,LB
Inisiatief,NSE
vir,SVS
Versnelde,ASA
en,KN
Gedeelde,ASA
Groei,NA
vir,SVS
Suid-Afrika,NEE
(,ZPL
AsgiSA,RK
),ZPR
",",ZM
haar,PDVEB
samewerking,NA
met,SVS
ministers,NSM
en,KN
premiers,NSM
wat,PB
die,LB
taakspan,NSE
verteenwoordig,VTHOG
",",ZM
en,KN
die,LB
konkrete,ASA
wyse,NSE
waarop,PB
sy,PDVENP
baie,THBO
spesifieke,ASA
kwessies,NSM
wat,PB
uitgevoer,VVHOG
moes,VVUOM
word,VTUOP
om,SVS
'n,LO
hoër,AVA
koers,NSE
van,SVS
belegging,NSE
en,KN
indiensstelling,NA
te,UPI
bewerkstellig,VTHOG
",",ZM
asook,KN
kwessies,NSM
met,SVS
betrekking,NA
tot,SVS
vaardigheidsontwikkeling,NA
en,KN
die,LB
doeltreffendheid,NA
van,SVS
die,LB
Staatsdiens,NSE
",",ZM
hanteer,VTHOG
het,VUOT
.,ZE
,
Ons,PEMP
het,VTHOG
hoë,ASA
waardering,NA
vir,SVS
die,LB
bydrae,NSE
wat,PB
alle,THAO
lede,NSM
van,SVS
die,LB
uitvoerende,ASA
gesag,NA
en,KN
ons,PEMB
staatsdiensbestuurders,NSM
",",ZM
oor,SVS
al,THAO
drie,THAB
regeringsvlakke,NSM
heen,BS
",",ZM
gelewer,VVHOG
het,VUOT
om,SVS
leiding,NA
aan,SVS
hierdie,PA
proses,NSE
te,UPI
gee,VTHOG
en,KN
die,LB
regeringsprogram,NSE
in,SVS
sy,PDHEB
geheel,NA
in,SVS
werking,NA
te,UPI
stel,VTHOG
.,ZE
,
Dit,PDOENP
staan,VTHOO
sentraal,BS
in,SVS
ons,PEMB
pogings,NSM
om,SVS
alle,THAO
lelike,ASA
en,KN
weersinwekkende,ASA
dinge,NSM
in,SVS
ons,PEMB
samelewing,NSE
uit,UPW
te,UPI
wis,VTHOG
sodat,KO
ons,PEMP
die,LB
vryheid,NA
en,KN
geluk,NA
wat,PB
bevryding,NA
meebring,VTHSG
",",ZM
kan,VTUOM
ervaar,VTHOG
.,ZE
,
In,SVS
hierdie,PA
verband,NSE
",",ZM
en,KN
bykomend,ASP
tot,SVS
die,LB
meerjaarprogramme,NSM
wat,PB
in,SVS
die,LB
verlede,NA
aangekondig,VVHOG
is,VVUOP
",",ZM
sal,VTUOM
die,LB
Regering,NSE
vanjaar,BS
die,LB
volgende,NA
doen,VTHOG
om,SVS
die,LB
AsgiSA,RK
nog,BS
vinniger,BV
in,SVS
werking,NA
te,UPI
stel,VTHOG
:,ZM
,
Die,LB
oorsig,NSE
voltooi,VTHOG
van,SVS
die,LB
land,NSE
se,UPS
ervaring,NA
met,SVS
die,LB
artikulasie,NSE
van,SVS
onder,SVS
meer,THPO
makro-ekonomiese,ASA
aanduiders,NSM
soos,UPV
die,LB
wisselkoers,NSE
",",ZM
inflasie-,RWD
en,KN
rentekoerse,NSM
",",ZM
om,SVS
maatreëls,NSM
in,UPW
te,UPI
stel,VTHOG
vir,SVS
die,LB
bevordering,NA
van,SVS
die,LB
groei,NA
van,SVS
nywerhede,NSM
wat,PB
verhandelbare,ASA
goedere,NSM
vir,SVS
sowel,KO
die,LB
binnelandse,ASA
as,KO
die,LB
uitvoermark,NSE
produseer,VTHOG
en,KN
oor,SVS
die,LB
potensiaal,NA
beskik,VTHOO
om,SVS
groot,ASA
getalle,NSM
halfgeskoolde,ASA
werkers,NSM
in,SVS
diens,NSE
te,UPI
neem,VTHOG
.,ZE
,
Ingevolge,SVS
die,LB
nasionale,ASA
beleidsraamwerk,NSE
vir,SVS
die,LB
nywerheid,NSE
",",ZM
wat,PB
nou,BS
afgehandel,VVHOG
is,VVUOP
",",ZM
sal,VTUOM
ons,PEMP
:,ZM
,
Die,LB
inwerkingstelling,NA
van,SVS
pasgemaakte,ASA
sektormaatreëls,NSM
ter,SVS
vergemakliking,NA
van,SVS
belegging,NSE
in,SVS
die,LB
uitbesteding,NA
van,SVS
besigheidsprosesse,NSM
",",ZM
toerisme,NA
",",ZM
biobrandstowwe,NSM
en,KN
chemikalieë,NSM
versnel,VTHOG
",",ZM
en,KN
praktiese,ASA
programme,NSM
vir,SVS
bosbou,NM
en,KN
papier,NM
",",ZM
kleding,NM
en,KN
tekstiele,NSM
",",ZM
metale,NSM
en,KN
ingenieurswese,NA
finaliseer,VTHOG
.,ZE
,
'n,LO
Oorkoepelende,ASA
strategie,NSE
ontwikkel,VTHOG
vir,SVS
sleutelingrypings,NSM
in,SVS
die,LB
verwerking,NA
en,KN
veredeling,NA
van,SVS
mynbou,NM
en,KN
minerale,NSM
",",ZM
die,LB
landbou,NM
en,KN
landbouverwerking,NA
",",ZM
die,LB
sektor,NSE
vir,SVS
witgoedere,NSM
",",ZM
die,LB
skeppende,ASA
nywerheid,NSE
",",ZM
gemeenskaps-,RWD
en,KN
maatskaplike,ASA
dienste,NSM
en,KN
die,LB
farmaseutiese,ASA
bedryf,NSE
.,ZE
,
Hierdie,PA
strategie,NSE
moet,VTUOM
onder,SVS
andere,NSM
doelgerigte,ASA
dryfvere,NSM
ter,SVS
verhoging,NSE
van,UPD
ons,PEMB
nasionale,ASA
vermoë,NSE
om,SVS
kapitaalgoedere,NSM
te,UPI
produseer,VTHOG
",",ZM
insluit,VTHSG
.,ZE
,
Ten,SVS
opsigte,NSM
van,SVS
mineraalverwerking,NA
sal,VTUOM
ons,PEMP
byvoorbeeld,BS
'n,LO
staatsdiamanthandelaar,NSE
op,SVS
die,LB
been,NSE
bring,VTHOO
wat,PB
10%,RS
van,UPD
ons,PEMB
plaaslike,ASA
diamantproduksie,NA
sal,VTUOM
aankoop,VTHSG
en,KN
hierdie,PA
diamante,NSM
aan,SVS
plaaslike,ASA
slypers,NSM
en,KN
produsente,NSM
sal,VTUOM
verkoop,VTHOG
.,ZE
,
Ons,PEMP
is,VTHOK
bly,ASP
dat,KO
De,LB
Beers,NEE
ingestem,VVHOO
het,VUOT
om,SVS
ons,PEMP
vir,SVS
drie,THAB
jaar,NSE
lank,BS
gratis,BS
met,SVS
die,LB
bestuur,NA
",",ZM
tegniese,ASA
vaardighede,NSM
en,KN
batevoorsiening,NA
te,UPI
help,VTHOO
.,ZE
,
Programme,NSM
ontwikkel,VTHOG
wat,PB
belegging,NSE
sal,VTUOM
vergemaklik,VTHOG
in,SVS
sektore,NSM
wat,PB
deel,NSE
uitmaak,VTHSG
van,SVS
die,LB
voorsieningsketting,NSE
vir,SVS
ons,PEMB
infrastruktuur,NM
",",ZM
met,SVS
inbegrip,NA
van,SVS
kapitaalgoedere,NSM
",",ZM
inligting,NM
en,KN
kommunikasie-tegnologie,NSE
(,ZPL
ICT,RL
),ZPR
",",ZM
vervoer,NA
en,KN
energie,NM
.,ZE
,
Ten,SVS
opsigte,NSM
van,SVS
energie,NM
sal,VTUOM
ons,PEMP
ook,BS
die,LB
werk,NA
bespoedig,VTHOG
wat,PB
ons,PEMP
in,SVS
staat,NSE
sal,VTUOM
stel,VTHOG
om,SVS
in,SVS
'n,LO
groter,AVA
mate,NSE
op,SVS
die,LB
opwekking,NA
van,SVS
kernkrag,NM
",",ZM
aardgas,NM
en,KN
verskeie,ASA
vorme,NSM
van,SVS
hernubare,ASA
energiebronne,NSM
staat,UPW
te,UPI
maak,VTHOO
.,ZE
,
Wat,PB
kommunikasie,NA
betref,VTHOG
",",ZM
is,VTHOK
ek,PEENP
bly,ASP
om,SVS
te,UPI
kan,VTUOM
aankondig,VTHSG
dat,KO
die,LB
Departement,NSE
van,SVS
Kommunikasie,NA
besig,ASP
is,VTHOK
om,SVS
",",ZM
in,SVS
samewerking,NA
met,SVS
selfoonmaatskappye,NSM
en,KN
Telkom,RK
",",ZM
planne,NSM
te,UPI
finaliseer,VTHOG
wat,PB
oproepbeëindigingskoste,NSE
vanjaar,BS
tot,SVS
voordeel,NSE
van,SVS
alle,THAO
verbruikers,NSM
moet,VTUOM
aanspreek,VTHSG
.,ZE
,
Hierbenewens,PB
sal,VTUOM
Telkom,RK
",",ZM
as,KO
deel,NSE
van,SVS
die,LB
poging,NSE
om,SVS
die,LB
besigheidsproses-uitbestedingsektor,NSE
(,ZPL
BPO-sektor,NSE
),ZPR
te,UPI
vergroot,VTHOG
",",ZM
'n,LO
spesiale,ASA
lae,ASA
tarief,NSE
vir,SVS
internasionale,ASA
bandwydte,NM
hef,VTHOG
aan,SVS
10,RS
ontwikkelingsoproepsentra,NSM
wat,PB
elk,PO
1,RS
000,RS
werknemers,NSM
in,SVS
diens,NSE
het,VTHOG
.,ZE
,
Hierdie,PA
sentra,NSM
sal,VTUOM
gevestig,VVHOG
word,VTUOP
in,SVS
gebiede,NSM
wat,PB
deur,SVS
die,LB
Regering,NSE
aangewys,VVHOG
is,VVUOP
.,ZE
,
Die,LB
spesiale,ASA
tarief,NSE
sal,VTUOM
regstreeks,BS
vergelykbaar,ASP
wees,VTHOK
met,SVS
die,LB
tariewe,NSM
wat,PB
in,SVS
enige,PO
vergelykbare,ASA
land,NSE
vir,SVS
dieselfde,ASA
diens,NSE
en,KN
kapasiteit,NSE
gehef,VVHOG
word,VTUOP
.,ZE
,
Ons,PEMP
sal,VTUOM
ook,BS
verskeie,ASA
stappe,NSM
doen,VTHOG
om,SVS
die,LB
mededingendheid,NA
van,SVS
die,LB
ekonomie,NSE
te,UPI
verhoog,VTHOG
.,ZE
,
Hierdie,PA
stappe,NSM
sluit,VTHOG
onder,SVS
meer,THPO
die,LB
volgende,NA
in,UPW
:,ZM
'n,LO
verlaging,NSE
van,SVS
die,LB
koste,NSE
om,SVS
sake,NSM
te,UPI
doen,VTHOG
en,KN
die,LB
bevordering,NA
van,SVS
beleggings,NSM
",",ZM
die,LB
praktiese,ASA
inwerkingstelling,NA
van,SVS
die,LB
Regulatory,NEE
Impact,NEE
Assessment-stelsel,NSE
(,ZPL
RIA-stelsel,NSE
),ZPR
",",ZM
die,LB
ontwikkeling,NA
van,SVS
breëbandkapasiteit,NSE
vir,SVS
nasionale,ASA
en,KN
internasionale,ASA
gebruik,NA
",",ZM
die,LB
finalisering,NA
van,SVS
planne,NSM
wat,PB
spoor-,RWD
en,KN
haweoperateurs,NSM
se,UPS
kapasiteit,NSE
sal,VTUOM
verhoog,VTHOG
",",ZM
en,KN
die,LB
verbetering,NSE
van,SVS
ons,PEMB
mededingingsowerhede,NSM
se,UPS
doeltreffendheid,NA
.,ZE
,
Die,LB
vordering,NA
wat,PB
ons,PEMP
met,SVS
die,LB
herkapitalisering,NA
van,SVS
kolleges,NSM
vir,SVS
verdere,ASA
opleiding,NA
en,KN
onderwys,NA
(,ZPL
VOO,RL
),ZPR
gemaak,VVHOG
het,VUOT
",",ZM
stel,VTHOG
ons,PEMP
in,SVS
staat,NSE
om,SVS
die,LB
getal,NSE
beskikbare,ASA
ambagslui,NSM
beduidend,BS
te,UPI
verhoog,VTHOG
.,ZE
,
Hulpbronne,NSM
sal,VTUOM
van,SVS
vanjaar,BS
af,SVS
toegewys,VVHOG
word,VTUOP
om,SVS
hulp,NA
te,UPI
verleen,VTHOG
aan,SVS
behoeftige,ASA
vakleerlinge,NSM
wat,PB
by,SVS
hierdie,PA
instansies,NSM
opgelei,VVHOG
word,VTUOP
.,ZE
,
Terselfdertyd,BS
sal,VTUOM
ons,PEMP
dringend,BS
'n,LO
oplossing,NSE
vir,SVS
die,LB
kwessie,NSE
van,SVS
die,LB
verantwoordelikhede,NSM
van,SVS
die,LB
nasionale,ASA
en,KN
provinsiale,ASA
sfere,NSM
met,SVS
betrekking,NA
tot,SVS
bestuur,NA
van,SVS
die,LB
VOO-stelsel,NSE
vind,VTHOG
.,ZE
,
Ons,PEMP
hoop,VTHOG
dat,KO
ons,PEMB
pogings,NSM
om,SVS
hierdie,PA
geleenthede,NSM
te,UPI
bied,VTHOG
",",ZM
sal,VTUOM
help,VTUOA
om,SVS
aan,SVS
veral,BS
ons,PEMB
jongmense,NSM
die,LB
boodskap,NSE
oor,UPW
te,UPI
dra,VTHOG
dat,KO
ambagsvaardighede,NSM
van,SVS
net,BS
soveel,THBO
kritiese,ASA
belang,NSE
vir,SVS
ekonomiese,ASA
groei,NA
is,VTHOK
as,KO
ander,ASA
soorte,NSM
kwalifikasies,NSM
.,ZE
,
Na,SVS
indringende,ASA
samesprekings,NSM
tussen,SVS
die,LB
Regering,NSE
en,KN
universiteitsleiers,NSM
is,VVUOP
daar,UXD
tot,SVS
'n,LO
vergelyk,NSE
gekom,VVHOG
en,KN
is,VVUOP
besluite,NSM
geneem,VVHOG
oor,SVS
die,LB
hulpbronne,NSM
wat,PB
nodig,ASP
is,VTHOK
om,SVS
te,UPI
sorg,VTHOG
dat,KO
die,LB
behoefte,NSE
aan,SVS
vaardighede,NSM
waaraan,PB
daar,UXD
'n,LO
tekort,NSE
is,VTHOK
",",ZM
vervul,VTHOG
word,VTUOP
.,ZE
,
In,SVS
hierdie,PA
verband,NSE
wil,VTUOM
ons,PEMP
die,LB
Gesamentlike,ASA
Onderneming,NSE
vir,SVS
die,LB
Verkryging,NA
van,SVS
Prioriteitsvaardighede,NSM
(,ZPL
JIPSA,RL
),ZPR
",",ZM
wat,PB
die,LB
Regering,NSE
",",ZM
sakelui,NSM
",",ZM
die,LB
arbeidsektor,NSE
",",ZM
opleidingsinstansies,NSM
en,KN
ander,PO
byeenbring,VTHSG
",",ZM
lof,NA
toeswaai,VTHSG
vir,SVS
die,LB
rol,NSE
wat,PB
hulle,PDMP
gespeel,VVHOG
het,VUOT
.,ZE
,
Soos,UPV
die,LB
agbare,ASA
lede,NSM
weet,VTHOO
",",ZM
het,VUOT
ons,PEMP
die,LB
getal,NSE
skole,NSM
waar,PB
geen,THAB
skoolgeld,NM
betaalbaar,VTHOG
is,VVUOP
nie,UPO
",",ZM
ook,BS
beduidend,BS
verhoog,VTHOG
.,ZE
,
In,SVS
die,LB
uitvoering,NA
van,SVS
hierdie,PA
infrastruktuur-,RWD
en,KN
ander,ASA
planne,NSM
word,VTUOP
ons,PEMP
geïnspireer,VVHOG
deur,SVS
ons,PEMB
verbintenis,NSE
om,SVS
te,UPI
sorg,VTHOG
dat,KO
die,LB
FIFA-wêreldsokkerbeker,NSE
van,SVS
2010,RS
die,LB
beste,AOP
ooit,BS
sal,VTUOM
wees,VTHOK
.,ZE
,
In,SVS
hierdie,PA
verband,NSE
wil,VTUOM
ons,PEMP
ons,PEMB
reëlingskomitee,NSE
(,ZPL
OC,RL
),ZPR
en,KN
ander,ASA
vennote,NSM
gelukwens,VTHSG
met,SVS
die,LB
uitmuntende,ASA
werk,NA
wat,PB
hulle,PDMP
verrig,VTHOG
.,ZE
,
Dit,PDOENP
is,VTHOK
baie,THBO
duidelik,ASP
dat,KO
",",ZM
om,SVS
te,UPI
sorg,VTHOG
dat,KO
alle,THAO
Suid-Afrikaners,NSM
die,LB
geluk,NA
smaak,VTHOG
wat,PB
met,SVS
'n,LO
groeiende,ASA
ekonomie,NSE
gepaardgaan,VTHSO
",",ZM
hierdie,PA
en,KN
ander,ASA
maatreëls,NSM
vergesel,VTHOG
moet,VTUOM
word,VTUOP
van,SVS
'n,LO
verskerpte,ASA
program,NSE
wat,PB
die,LB
uitdagings,NSM
van,SVS
die,LB
Tweede,TRAB
Ekonomie,NSE
die,LB
hoof,NSE
bied,VTHOG
.,ZE
,
Om,SVS
hierdie,PA
rede,NSE
sal,VTUOM
ons,PEMP
in,SVS
die,LB
loop,NA
van,SVS
die,LB
jaar,NSE
onder,SVS
meer,THPO
die,LB
volgende,NA
doen,VTHOG
:,ZM
,
verdere,ASA
praktiese,ASA
optrede,NSE
onderneem,VTHOG
om,SVS
toegang,NA
tot,SVS
mikrofinansiering,NA
",",ZM
met,SVS
inbegrip,NA
van,SVS
die,LB
reikwydte,NSE
van,SVS
die,LB
